symbol,HEK293T_HS_rep1,HEK293T_HS_rep2,HEK293T_CTRL_rep1,HEK293T_CTRL_rep2,U2OS_ERR468934,U2OS_ERR468935,U2OS_ERR468936,U2OS_ERR468937,U2OS_ERR468932,U2OS_ERR468933
GPR143,0.0300000120000047,0.0300000195000126,0.0799998920001457,0.0799998920001457,0.0,0.0,0.0,0.0900524870921016,0.1807263482298531,0.0931514929250044
GPR146,0.4600001840000736,0.4500002925001901,1.2199983530022234,1.2199983530022234,1.2503225162276237,1.134102519465452,1.182847797059713,0.990577358013118,0.8132685670343394,0.931514929250044
GPR148,0.0,0.0,0.0,0.0,0.0,0.0945085432887876,0.0,0.0,0.0,0.0
GPR149,0.0200000080000032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GPR15,0.0,0.0,0.0599999190001093,0.0599999190001093,0.0893087511591159,0.0,0.0,0.0,0.0,0.0
GPR150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1801049741842032,0.0903631741149265,0.0931514929250044
GPR151,0.0,0.0,0.1999997300003644,0.1999997300003644,0.0893087511591159,0.0,0.0,0.1801049741842032,0.0903631741149265,0.0
GPR152,0.0400000160000064,0.0300000195000126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GPR153,9.600003840001536,9.28000603200392,5.06999315550924,5.06999315550924,13.396312673867394,10.773973934921797,15.19504477761324,12.787453167078432,13.55447611723899,11.830239601475558
GPR155,2.430000972000389,3.960002574001673,2.75999627400503,2.75999627400503,3.393732544046406,2.4572221255084794,4.003484851586722,3.3319420224077603,3.9759796610567695,3.353453745300158
GPR155-DT,1.5900006360002543,2.270001475500959,4.369994100507964,4.369994100507964,0.6251612581138117,0.6615598030215137,0.2729648762445492,1.5308922805657277,0.903631741149266,0.6520604504750307
GPR156,0.8700003480001393,1.0800007020004565,1.1799984070021503,1.1799984070021503,14.735943941254131,11.057499564788158,15.286033069694758,13.597925550907346,12.018302157285236,11.737088108550552
GPR157,11.280004512001804,14.190009223505996,12.229983489522288,12.229983489522288,7.680552599683972,4.630918621150596,4.640402896157338,8.735091247933857,7.319417103309054,7.824725405700368
GPR158,0.0100000040000016,0.0100000065000042,0.0,0.0,11.43152014836684,8.97831161243483,12.374407723086232,13.687978037999448,14.729197380733035,14.624784389225688
GPR158-AS1,0.0,0.0,0.0299999595000546,0.0299999595000546,0.0,0.0,0.0,0.0,0.0,0.0
GPR15LG,0.0,0.0600000390000253,0.0,0.0,0.0,0.0,0.0,0.0,0.0903631741149265,0.1863029858500088
GPR160,31.640012656005062,41.07002669551736,10.9199852580199,10.9199852580199,0.2679262534773478,0.4725427164439383,0.2729648762445492,0.3602099483684065,0.5421790446895596,0.4657574646250219
GPR160P1,0.0600000240000095,0.0500000325000211,0.0,0.0,0.0,0.0,0.0,0.0,0.1807263482298531,0.0
GPR160P2,0.0,0.0,0.0399999460000728,0.0399999460000728,0.0,0.0,0.0,0.0,0.0,0.0
GPR161,6.660002664001066,7.3000047450030845,7.539989821013741,7.539989821013741,27.775021610485062,27.31296901045964,29.3892183423298,19.45133721189395,23.85587796634062,23.56732771002611
GPR162,2.520001008000404,3.7000024050015634,2.5599965440046653,2.5599965440046653,19.737234006164627,21.07540515339965,19.107541337118448,25.755011308341068,26.747499538018275,25.89611503315122
GPR17,0.100000040000016,0.0400000260000169,0.0,0.0,1.875483774341435,0.567051259732726,1.546800965385779,1.0806298451052194,1.0843580893791191,0.7452119434000352
GPR171,0.0300000120000047,0.0300000195000126,1.3099982315023873,1.3099982315023873,0.0,0.0,0.0,0.0,0.0,0.0
GPR173,0.0,0.1000000650000422,0.0,0.0,12.235298908798883,10.868482478210582,12.738360891412295,10.626193476867993,9.759222804412072,10.339815714675488
GPR176,3.2000012800005124,3.220002093001361,5.709992291510406,5.709992291510406,94.48865872634468,91.10623573039132,88.89556136364153,82.1278682279967,78.25450878352643,82.06646526692886
GPR176-DT,0.0600000240000095,0.0200000130000084,0.0999998650001822,0.0999998650001822,0.0893087511591159,0.0,0.454941460407582,0.1801049741842032,0.0,0.0931514929250044
GPR18,0.100000040000016,0.180000117000076,0.669999095501221,0.669999095501221,0.0,0.0,0.0,0.0,0.0,0.0
GPR180,6.7600027040010815,10.140006591004283,13.049982382523783,13.049982382523783,27.685712859325943,24.85574688495116,23.656955941194266,20.53196705699917,20.873893220548045,23.00841875247608
GPR183,0.0300000120000047,0.090000058500038,0.5799992170010569,0.5799992170010569,0.0,0.0,0.0909882920815164,0.0,0.0,0.0931514929250044
GPR19,0.9400003760001504,0.980000637000414,0.5399992710009842,0.5399992710009842,6.251612581138117,5.859529683904836,5.459297524890985,2.971732074039354,2.8916215716776508,1.863029858500088
GPR199P,0.8400003360001345,1.1800007670004986,0.7399990010013485,0.7399990010013485,0.1786175023182319,0.1890170865775753,0.1819765841630328,0.1801049741842032,0.0903631741149265,0.2794544787750131
GPR20,0.1100000440000176,0.1600001040000676,0.0,0.0,1.071705013909391,1.134102519465452,0.7279063366521312,0.990577358013118,0.903631741149266,0.931514929250044
